Number of Aliens,Success Rate,Average Steps on Failure
1,98.5,17
2,97.75,16.05556
3,96,17.1875
4,95.125,13.71795
5,94,20.85417
6,92.75,14.58621
7,89.5,15.70238
8,89.375,15.49412
9,90.25,17.38461
10,87.5,17.07
11,86.375,17.6422
12,84.375,17.896
13,84.5,18.44355
14,81.75,18.36986
15,82.375,15.62411
16,75.875,17.34715
17,77.5,18.92778
18,77,15.81522
19,74,15.57211
20,73.125,18.93023
21,73.75,18.16191
22,66.875,18.73585
23,67.625,18.5251
24,66.125,16.70849
25,67.75,18.57752
26,63.5,17.46233
27,64.125,18.18815
28,61.125,19.55949
29,63.375,18.97611
30,62.125,18.80528
31,61.625,18.27687
32,58.5,18.58133
33,56,18.26989
34,55.5,18.32303
35,58.125,18.43284
36,51.125,18.6087
37,52.875,18.88064
38,47.5,20.15952
39,48,19.57692
40,47.375,18.26128
41,47,18.88679
42,45.5,19.16514
43,42.75,19.5524
44,45.875,20.20554
45,40.5,19.86555
46,41,18.20551
47,40.875,20.48414
48,40,19.24583
49,37,20.26389
50,38,19.08064
51,34.625,19.04206
52,33.75,18.21321
53,33.5,17.84211
54,32.25,19.81365
55,30.625,17.8991
56,30.25,18.88531
57,30.125,19.65116
58,29.375,18.5292
59,32.125,16.15285
60,27.125,19.00343
61,27.875,18.68631
62,24.375,16.76859
63,23.75,18.45082
64,27.625,17.65803
65,23.375,17.69821
66,22.5,18.65806
67,22.375,18.0161
68,22.875,17.96434
69,20.875,18.4139
70,20.375,16.96703
71,20.25,16.68025
72,17.875,17.94216
73,19.75,18.30218
74,20,15.975
75,18.5,15.33589
76,20.625,17.00787
77,17.625,15.95903
78,17.5,16.99697
79,13.875,16.23077
80,14.5,16.59649
81,13.875,16.55588
82,13,15.44253
83,14,13.98692
84,14.125,15.4425
85,13.875,15.44557
86,13.625,15.63097
87,15.125,15.18115
88,14.5,14.94591
89,11.5,13.49011
90,12.625,13.90558
91,10.5,13.84218
92,13,13.77155
93,10.125,13.70793
94,10.25,13.77437
95,10.5,12.64106
96,10.375,12.62761
97,10.75,13.38655
98,9.5,12.80663
99,10.75,13.04762
100,9,12.65659
101,7.625,12.75913
102,9.25,13.15565
103,9.375,13.72828
104,8,12.62228
105,7.625,14.64141
106,7.875,12.90502
107,7.25,12.03369
108,7.625,13.41543
109,8.375,11.44475
110,6.75,11.20778
111,5.625,11.7245
112,6.75,10.30563
113,5.25,10.93668
114,7.125,11.09556
115,7.25,11.36523
116,6.125,10.24368
117,4.625,10.19135
118,4.75,10.38451
119,7.25,10.83154
120,6.25,11.46667
121,5.625,10.99338
122,5.75,10.41114
123,5.75,10.23077
124,7,9.416667
125,6.125,9.841544
126,6.25,10.03867
127,5.375,9.191545
128,4,9.358073
129,5,9.04079
130,3.875,9.988297
131,4,10.08203
132,4.25,10.23629
133,4,8.998698
134,3.75,9.893506
135,4.375,11.40654
136,4,8.061198
137,4,8.546875
138,3,9.103093
139,3.5,8.452072
140,5,8.734211
141,4.5,8.306283
142,3,8.98067
143,3.125,8.205161
144,3.875,8.159948
145,4.75,8.490813
146,2.5,7.703846
147,4.125,8.538462
148,3.5,8.547928
149,4.25,7.937337
150,4,7.869792
151,4,7.170573
152,3.5,8.303109
153,2.875,7.548263
154,2.375,7.673495
155,4.125,8.105606
156,2.875,7.97426
157,2.125,7.550447
158,2.625,7.712452
159,3.375,6.915912
160,3.375,7.002587
161,4.125,6.59322
162,2.625,7.869063
163,3,6.680412
164,2.875,6.805663
165,2.625,6.72914
166,2.75,6.763496
167,3.5,6.57513
168,1.625,6.695045
169,2.875,6.132561
170,2.375,6.603073
171,2.875,6.585586
172,2.625,5.672657
173,1.75,6.501272
174,2.625,6.216945
175,1.625,7.364676
176,2.375,6.087068
177,3,6.029639
178,2.5,5.864102
179,2.375,6.119078
180,1.875,6.729936
181,2.5,5.905128
182,1.75,6.062341
183,2.625,5.397946
184,1.5,5.074873
185,1.25,5.289874
186,1.375,4.896071
187,2.25,5.991049
188,2.25,5.262148
189,3.125,5.180645
190,1.125,4.79646
191,1.875,5.42293
192,2.5,5.34359
193,1.375,5.285171
194,2,5.386479
195,0.75,4.770781
196,1.25,4.475949
197,1.5,5
198,1.125,5.042984
199,1.875,4.991083
200,1.5,5.074873
201,2.25,5.503836
202,2,5.137755
203,1.375,4.840304
204,2,4.28699
205,2,4.895408
206,2.125,4.431673
207,1.5,4.32868
208,2,4.989796
209,1.75,4.693384
210,1.5,4.470812
211,1.5,4.083756
212,2.25,4.06266
213,1.875,4.749044
214,1.5,4.205584
215,1.25,4.263291
216,1.5,4.525381
217,1,3.99495
218,0.875,3.896595
219,1.25,3.882278
220,0.875,4.177806
221,1.75,3.838422
222,1.875,4.231847
223,1.25,3.906329
224,1,3.801768
225,1.875,3.713376
226,1.5,3.807106
227,0.875,3.546028
228,1,3.472222
229,0.875,4.127365
230,1.125,3.940582
