Number of Aliens, Success Rate, Average Steps on Failure
1,99.625,18
2,98.25,8.285714
3,95.875,12.18182
4,93.75,20.54
5,94.25,17.30435
6,92.5,16.26667
7,91.875,18.63077
8,89.25,16.96512
9,89,13.36364
10,85.875,14.78761
11,83.75,15.38461
12,82.625,18.96403
13,82.875,17.61314
14,80.625,15.56129
15,77.625,15.68715
16,79.875,19.47826
17,74.5,17.44608
18,75,18.715
19,76.5,19.36702
20,71.25,17.75217
21,72.25,17.23423
22,69.375,17.11837
23,68.5,18.39683
24,66.25,19.38519
25,68.375,19.52174
26,65.75,18.9562
27,63.25,17.67687
28,61,18.22115
29,60,16.78437
30,59.375,17.84615
31,59.75,19.31677
32,61.25,19.48387
33,54.875,18.98061
34,53.875,18.06775
35,52.375,19.33333
36,52.875,20.61273
37,50.625,19.76709
38,50.875,18.95929
39,48.5,18.2233
40,49,18.33578
41,44.625,20.64334
42,41.875,19.06021
43,44.625,18.72686
44,47.125,19.07801
45,41.875,19.08602
46,41.25,19.15745
47,43.625,20.48337
48,36.375,20.20236
49,42.875,19.21444
50,37.875,19.15292
51,38.5,19.89837
52,35.375,19.31335
53,33,19.32649
54,33.5,19.78196
55,33.875,19.41588
56,31,18.41123
57,31.25,20.06
58,25.125,17.9833
59,26.625,19.52981
60,26.25,19.17119
61,26,17.73818
62,24,18.7352
63,23.75,18.82951
64,26,18.38851
65,26,18.25
66,22.125,17.50722
67,25.375,17.28811
68,20.5,17.56918
69,21.5,16.71975
70,23,17.48377
71,20.25,18.13636
72,21.125,16.729
73,20,17.77031
74,17.25,17.40483
75,19.875,15.84711
76,18.5,15.71166
77,16.375,16.35575
78,16.625,15.54423
79,16.5,16.17365
80,14,15.69331
81,14.625,15.95022
82,16.625,16.07796
83,12.875,15.71306
84,14,14.92297
85,15.125,14.66274
86,11.875,14.4766
87,11.875,13.94752
88,13.875,14.27431
89,11.125,14.39241
90,12.75,15.44986
91,10.75,13.61905
92,8.75,13.60548
93,11,13.84831
94,12.125,14.40683
95,8.75,13.79041
96,12.25,12.44302
97,8.625,13.21888
98,10.375,12.73361
99,11.25,13.2169
100,10.75,13.30392
101,8,13.26223
102,9,13.40797
103,8.25,12.40463
104,8.625,13.39398
105,7.625,11.7659
106,7.375,11.34278
107,7.25,12.67116
108,6.5,11.97326
109,6.625,11.96519
110,5.75,11.64987
111,6.125,12.15446
112,5.875,11.42098
113,6.25,11.84533
114,5.875,12.82868
115,6.125,10.90146
116,5.25,9.815304
117,6.625,10.38822
118,5,10.17237
119,6.125,10.98668
120,5,10.70789
121,4.5,10.41623
122,5.5,9.367724
123,4.625,9.985583
124,4.25,10.25196
125,5.375,9.602378
126,4.5,9.823298
127,4.625,9.391874
128,4.875,10.19185
129,5,10.26316
130,6,9.735373
131,4.875,8.00657
132,5.125,9.221344
133,3.125,9.205161
134,3,9.103093
135,4,8.6875
136,3.875,9.713914
137,3.75,8.445455
138,3.375,9.376455
139,3.375,8.604139
140,4.75,8.143044
141,3.125,9.127742
142,4.5,8.024869
143,4,8.384114
144,4.125,9.449804
145,2.75,8.748072
146,2.875,7.848134
147,2.875,7.988417
148,4.375,7.435294
149,3.125,7.456774
150,3.625,8.413749
151,3.25,8.089148
152,3.875,7.703511
153,2.25,7.107417
154,2.875,7.314028
155,3.375,7.852523
