Number of Aliens,Success Rate,Average Steps on Failure
1,100,NaN
2,100,NaN
3,99.875,1
4,99.875,17
5,99.875,3
6,99.875,45
7,99.625,21
8,99.75,1
9,99.125,18.28572
10,99.375,39.6
11,99.25,17.66667
12,99.5,19.25
13,99.25,17.16667
14,99,22.125
15,98.25,18.5
16,98.5,30.16667
17,97.875,22.88235
18,96.75,14.15385
19,98.75,31.1
20,97.375,21.76191
21,97.875,41.94118
22,97.375,13
23,97.375,34
24,97.75,22.72222
25,96.375,31.44828
26,96.5,29.21428
27,96,25.84375
28,94.25,33.06522
29,94.625,31.44186
30,94.5,27.27273
31,94.125,32.46809
32,93.875,32.69388
33,94,28.22917
34,93.125,31.47273
35,92.875,32
36,91.5,42.70588
37,91.625,35.76119
38,90.125,31.58228
39,91,38.26389
40,89,32.90909
41,88.875,36.94382
42,87.25,41.82353
43,87.625,39.50505
44,87.75,47.30612
45,87.75,36.82653
46,84.875,41.61157
47,84.875,37.10744
48,82.875,38.91241
49,81.375,46.34228
50,81.25,43.42
51,80.75,37.83117
52,80.875,44.15033
53,78.125,48.01714
54,78,52.35227
55,76.625,44.8877
56,74.375,48.22439
57,75.25,47.27273
58,75.625,45.12308
59,71.625,49.79295
60,72.25,50.75676
61,67.25,48.99618
62,69.625,52.67078
63,66.5,45.86194
64,64.25,51.58392
65,66,52.65441
66,65.125,50.47312
67,61.75,62.04902
68,64,53.59722
69,59.375,50.97846
70,59.625,60.43653
71,58.125,57.64478
72,55.125,54.73259
73,54.25,51.11202
74,54.875,50.44598
75,52,57.79948
76,50.125,57.90727
77,47.875,54.48201
78,48,57.64183
79,44.875,65.62585
80,45.625,55.55862
81,43.625,64.71841
82,41.5,55.41239
83,40.5,55.78571
84,40.875,53.20296
85,39.25,62.1893
86,37,61.41865
87,32.875,54.94786
88,32.875,57.44879
89,36.25,54.73529
90,33,56.35448
91,31.375,57.04189
92,31,57.05797
93,30.375,57.04309
94,31.875,52.34129
95,26.25,54.5322
96,25.125,57.59599
97,28.25,52.47038
98,25.5,50.38423
99,25.625,58.04538
100,25.125,50.31553
101,21.375,50.81717
102,22.5,51.34678
103,22.125,53.01445
104,20.75,51.76971
105,20.5,47.12264
106,18.375,47.89893
107,20.875,48.76935
108,16.75,49.69219
109,19.5,47.87112
110,17,47.7997
111,16.125,47.59613
112,15.75,43.82048
113,14.625,46.18741
114,15.25,42.0295
115,14.375,41.31971
116,12.875,41.33572
117,15.625,42.40148
118,13,43.16092
119,11,38.48455
120,15.125,42.28866
121,11,44.85112
122,13.875,40.30043
123,11.875,38.59575
124,10.375,37.03626
125,8.5,38.17486
126,9,34.96978
127,10.375,36.2901
128,9,36.41896
129,11.125,36.28551
130,9.25,34.54821
131,9.375,34.41517
132,8.25,35.00681
133,8.625,35.53489
134,7.875,33.71506
135,8.75,34.23425
136,9.125,30.61073
137,7.5,31.8
138,8.625,29.35157
139,6.375,29.38852
140,5.875,27.68659
141,6.875,29.35168
142,6.125,30.58722
