Generation,Successes,Failures,Success Rate
1,463,787,0.3704
2,413,837,0.3304
3,359,891,0.2872
4,357,893,0.2856
5,317,933,0.2536
6,301,949,0.2408
7,343,907,0.2744
8,283,967,0.2264
9,299,951,0.2392
10,267,983,0.2136
11,283,967,0.2264
12,278,972,0.2224
13,262,988,0.2096
14,249,1001,0.1992
15,264,986,0.2112
16,254,996,0.2032
17,256,994,0.2048
18,259,991,0.2072
19,217,1033,0.1736
20,252,998,0.2016
21,252,998,0.2016
22,270,980,0.216
23,247,1003,0.1976
24,259,991,0.2072
25,268,982,0.2144
26,258,992,0.2064
27,230,1020,0.184
28,259,991,0.2072
29,241,1009,0.1928
30,240,1010,0.192
31,283,967,0.2264
32,256,994,0.2048
33,252,998,0.2016
34,264,986,0.2112
35,236,1014,0.1888
36,258,992,0.2064
37,296,954,0.2368
38,271,979,0.2168
39,280,970,0.224
40,273,977,0.2184
41,241,1009,0.1928
42,241,1009,0.1928
43,265,985,0.212
44,271,979,0.2168
45,274,976,0.2192
46,256,994,0.2048
47,262,988,0.2096
48,239,1011,0.1912
49,245,1005,0.196
50,276,974,0.2208
51,271,979,0.2168
52,263,987,0.2104
53,238,1012,0.1904
54,256,994,0.2048
55,258,992,0.2064
56,272,978,0.2176
57,256,994,0.2048
58,279,971,0.2232
59,268,982,0.2144
60,255,995,0.204
61,276,974,0.2208
62,256,994,0.2048
63,254,996,0.2032
64,270,980,0.216
65,273,977,0.2184
66,251,999,0.2008
67,242,1008,0.1936
68,239,1011,0.1912
69,240,1010,0.192
70,260,990,0.208
71,259,991,0.2072
72,262,988,0.2096
73,268,982,0.2144
74,258,992,0.2064
75,253,997,0.2024
76,281,969,0.2248
77,249,1001,0.1992
78,251,999,0.2008
79,250,1000,0.2
80,256,994,0.2048
81,257,993,0.2056
82,257,993,0.2056
83,265,985,0.212
84,267,983,0.2136
85,245,1005,0.196
86,242,1008,0.1936
87,278,972,0.2224
88,263,987,0.2104
89,239,1011,0.1912
90,236,1014,0.1888
91,252,998,0.2016
92,259,991,0.2072
93,266,984,0.2128
94,255,995,0.204
95,261,989,0.2088
96,256,994,0.2048
97,260,990,0.208
